"","workingday","temp","humidity","windspeed","count","season_2","season_3","season_4","weather_2","weather_3","weather_4","mon_train_2","mon_train_3","mon_train_4","mon_train_5","mon_train_6","mon_train_7","mon_train_8","mon_train_9","mon_train_10","mon_train_11","mon_train_12","hr_train_1","hr_train_2","hr_train_3","hr_train_4","hr_train_5","hr_train_6","hr_train_7","hr_train_8","hr_train_9","hr_train_10","hr_train_11","hr_train_12","hr_train_13","hr_train_14","hr_train_15","hr_train_16","hr_train_17","hr_train_18","hr_train_19","hr_train_20","hr_train_21","hr_train_22","hr_train_23","log_count"
"1",1,31.16,70,12.7993954069447,412,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02102334934953
"2",1,31.16,62,12.7993954069447,319,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.76519110278484
"3",1,22.96,40,12.7993954069447,205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.32300997913841
"4",1,27.06,57,12.7993954069447,887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.78784498230958
"5",0,18.04,62,12.7993954069447,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.29831736654804
"6",1,8.2,40,12.7993954069447,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.99043258677874
"7",0,9.02,44,12.7993954069447,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.39362754635236
"8",0,16.4,76,12.7993954069447,151,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.01727983681492
"9",1,7.38,80,12.7993954069447,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945
"10",1,11.48,52,12.7993954069447,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399
"11",1,14.76,66,12.7993954069447,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29583686600433
"12",1,13.12,33,12.7993954069447,165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.10594547390058
"13",0,20.5,88,12.7993954069447,114,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7361984483945
